Country_Name,Country_Code,2003_PIB,2004_PIB,2005_PIB,2006_PIB,2007_PIB,2008_PIB,2009_PIB,2010_PIB,2011_PIB,2012_PIB,2013_PIB,2014_PIB,2015_PIB,2016_PIB,2017_PIB,2018_PIB
Afganistan,AFG,9347.568466,10102.12047,12012.15789,13167.16829,17911.78803,18578.80856,21542.38899,24883.27932,28234.4063,33015.04465,35290.49568,35254.4649,35531.19664,34562.14728,35415.6425,35717.11525
Angola,AGO,73335.07574,104891.5781,165813.4195,208922.2175,239476.1096,306206.9092,247724.5772,329746.972,433553.0661,486895.9466,507192.31,531659.7319,500290.4977,573791.2665,679560.9,831805.91
Albania,ALB,222968.1381,243696.8667,267031.938,291636.2216,325091.6611,366664.7157,390753.2112,425553.2624,447689.0811,459526.4517,466324.6108,482954.1027,497901.5608,511970.588,539644.5779,570655.9886
Andorra,AND,28592.96002,30580.37354,32217.27719,34016.89035,34925.37855,33260.11781,31313.59293,30815.16655,31132.10025,30109.6728,29768.73747,31089.46764,32232.76205,33854.61273,34489.94169,35390.35919
"Emiratos Arabes Unidos",ARE,123025.4218,133433.8601,144569.556,153904.9473,153545.4489,163422.336,117608.8069,124473.1572,143942.4499,150486.1952,155760.3847,160678.6283,141991.277,140075.9322,149268.0428,161000.0362
Argentina,ARG,9869.533784,12603.02264,14977.9962,18221.08665,22602.90057,28683.67019,30826.16911,40739.98408,52810.11674,63208.89269,79338.28508,107315.2117,138053.3152,188760.9565,242031.4278,326843.1266
Armenia,ARM,538329.7901,635829.201,752324.2284,897874.967,1073881.221,1227199.584,1087794.641,1202578.755,1313365.441,1479237.779,1572219.546,1657952.66,1723993.105,1725831.583,1889593.96,2038445.736
"Antigua y Barbuda",ATG,29158.51198,30911.0486,33904.13061,37793.69801,42182.77676,43317.56385,38232.19514,35232.99405,34414.75357,35835.59159,34856.30928,36454.26849,38572.45153,41033.56713,41535.22101,45016.40945
Australia,AUS,40258.55223,42779.44494,45225.79285,48141.59891,52170.82141,55405.05054,58093.41822,59060.71919,63411.83877,65958.18103,66425.90933,68093.00482,68214.70193,68650.34039,71635.6812,73993.63912
Austria,AUT,28549.48696,29656.05339,30879.95995,32390.38314,34232.82684,35301.57438,34523.89653,35379.92903,36956.84623,37799.92648,38197.75484,38981.06632,39833.53233,40931.8461,41982.20962,43590.40491
