Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,64.084,64.429,64.747,65.053,65.35600000000001,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.39399999999999,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.88600000000001,70.92399999999999,70.969,71.018,71.062,71.098,71.126,71.148,71.168,71.19,71.219,71.259,71.312,71.382,71.469,71.572,71.688,71.816,71.952,72.093,72.235,72.377,72.517,72.654,72.792,72.93,73.069,73.208,73.348,73.488,73.628,0,0
Afganistan,AFG,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,31.718000000000004,32.224000000000004,32.724000000000004,33.216,33.7,34.18,34.656,35.133,35.615,36.106,36.607,37.12,37.644,38.18,38.729,39.293,39.874,40.473,41.09,41.723,42.372,43.037,43.715,44.403,45.097,45.79600000000001,46.498999999999995,47.20399999999999,47.906000000000006,48.601000000000006,49.281000000000006,49.938,50.57,51.172,51.746,52.287,52.798,53.285,53.753,54.21,54.663000000000004,55.119,55.583,56.056000000000004,56.542,57.044,57.562,58.092,58.626000000000005,59.159,59.683,60.19,60.675,61.133,61.563,61.965,62.343,62.701,63.047,0,0
Angola,AGO,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,36.305,36.582,36.874,37.181,37.501,37.833,38.177,38.532,38.894,39.26,39.626999999999995,39.994,40.359,40.716,41.063,41.394,41.703,41.99,42.254,42.492,42.708,42.906000000000006,43.09,43.25899999999999,43.413999999999994,43.544,43.64,43.696000000000005,43.711000000000006,43.692,43.641999999999996,43.568000000000005,43.486999999999995,43.416000000000004,43.373999999999995,43.378,43.442,43.574,43.781000000000006,44.074,44.466,44.966,45.567,46.261,47.038000000000004,47.893,48.821000000000005,49.806999999999995,50.826,51.85,52.848,53.79,54.66,55.446999999999996,56.14,56.736999999999995,57.242,57.677,58.06399999999999,0,0
Albania,ALB,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,61.309,62.272,63.117,63.81100000000001,64.346,64.723,64.962,65.116,65.233,65.346,65.49600000000001,65.714,66.00399999999999,66.35600000000001,66.762,67.19,67.596,67.943,68.204,68.376,68.475,68.533,68.59,68.673,68.788,68.92,69.04,69.12,69.145,69.122,69.07,69.017,68.997,69.03699999999999,69.15,69.347,69.631,69.982,70.376,70.797,71.21600000000001,71.60600000000001,71.95100000000001,72.24600000000001,72.493,72.708,72.919,73.156,73.438,73.76899999999999,74.145,74.55199999999999,74.96600000000001,75.36399999999999,75.734,76.066,76.35300000000001,76.601,76.816,0,0
Andorra,AND,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El mundo arabe,ARB,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,45.50473906,46.10172608,46.68912381,47.26980629,47.84457603,48.41137034,48.96362934,49.49994168,50.02317489,50.54052279,51.06498423,51.61348098,52.1932107,52.80109244,53.42535791,54.04618159,54.64021509,55.19388429,55.7081681,56.19767855,56.68894277,57.21176379999999,57.78499803,58.41285572,59.08281154,59.76870649999999,60.43934504,61.06595394,61.62738004,62.11880812,62.58294863,62.96488214,63.24717499,63.61138546,63.97610264,64.39601539,64.75356416,65.09907821,65.42541836,65.73365748,66.02625868,66.30868591,66.5853515,66.86275421,67.14421519,67.42706348,67.70578036,67.9713939,68.21417290000001,68.42880001,68.61895103,68.79463993,68.96879555,69.14952694,69.33660688,69.52897371,69.72466653,69.92125014,70.1159947,0,0
Emiratos Arabes Unidos,ARE,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,49.248999999999995,50.363,51.461999999999996,52.541000000000004,53.597,54.631,55.648,56.656000000000006,57.653999999999996,58.638999999999996,59.606,60.54600000000001,61.452,62.315,63.132,63.898999999999994,64.617,65.289,65.921,66.515,67.071,67.589,68.072,68.52199999999999,68.943,69.337,69.707,70.055,70.384,70.69800000000001,70.999,71.289,71.567,71.834,72.093,72.345,72.59,72.829,73.062,73.291,73.516,73.738,73.957,74.17399999999999,74.388,74.601,74.811,75.018,75.223,75.42399999999999,75.624,75.82300000000001,76.02199999999999,76.219,76.414,76.605,76.79,76.96600000000001,77.133,0,0
Argentina,ARG,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,62.417,62.46,62.478,62.486999999999995,62.503,62.542,62.619,62.739,62.901,63.106,63.349,63.622,63.909,64.19800000000001,64.484,64.766,65.045,65.32600000000001,65.611,65.89699999999999,66.173,66.431,66.664,66.87100000000001,67.053,67.219,67.37899999999999,67.545,67.726,67.92399999999999,68.138,68.361,68.586,68.804,69.014,69.212,69.402,69.586,69.768,69.94800000000001,70.128,70.307,70.484,70.661,70.835,71.008,71.179,71.347,71.513,71.676,71.837,71.995,72.15100000000001,72.306,72.46,72.61399999999999,72.768,72.92399999999999,73.082,0,0
Armenia,ARM,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,62.821999999999996,63.24,63.663999999999994,64.092,64.52199999999999,64.953,65.384,65.81,66.22,66.602,66.935,67.19800000000001,67.381,67.486,67.52,67.509,67.486,67.479,67.502,67.55199999999999,67.60600000000001,67.626,67.57600000000001,67.436,67.203,66.88,66.476,66.03,65.586,65.18,64.86,64.67,64.627,64.732,64.983,65.37,65.868,66.433,67.015,67.579,68.086,68.501,68.824,69.06,69.214,69.312,69.38600000000001,69.475,69.602,69.77600000000001,69.98899999999999,70.222,70.446,70.639,70.797,70.921,71.02199999999999,71.115,71.215,0,0
Samoa Americana,ASM,"Esperanza de vida al nacer, varones (anos)",SP.DYN.LE00.MA.IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
